Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:08:15,2021-04-06 16:08:18,3.145s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/btn_catergory""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:08:18,2021-04-06 16:08:19,1.016s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:08:19,2021-04-06 16:08:20,0.708s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_015,Chrome 89.0.4389.114,,,2021-04-06 16:08:20,2021-04-06 16:08:38,18.544s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:08:20,2021-04-06 16:08:32,12.450s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:08:32,2021-04-06 16:08:33,1.037s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:08:33,2021-04-06 16:08:34,0.542s,PASSED
"setText(findTestObject(""Search Objects/Page_diagnostics/input.Keywords-filter""), ""COVID19"")",Chrome 89.0.4389.114,,,2021-04-06 16:08:34,2021-04-06 16:08:35,0.702s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:08:35,2021-04-06 16:08:36,1.600s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/span_Result""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:08:36,2021-04-06 16:08:37,1.093s,PASSED
"verifyElementText(findTestObject(""Search Objects/Page_diagnostics/span_Result""), ""COVID19"")",Chrome 89.0.4389.114,,,2021-04-06 16:08:37,2021-04-06 16:08:37,0.274s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:08:37,2021-04-06 16:08:38,0.708s,PASSED
